time,T_B,T_Z,SV_1h_B,SV_1h_Z
2019-01-01T00:00:00,6.3,5.2,120702,260429
2019-01-01T01:00:00,6.1,5.1,120165,248632
2019-01-01T02:00:00,6.1,5.2,115683,245431
2019-01-01T03:00:00,5.9,4.9,109393,232658
2019-01-01T04:00:00,6.0,4.8,106223,222515
2019-01-01T05:00:00,5.6,4.9,108463,222886
2019-01-01T06:00:00,5.2,4.8,113312,232491
2019-01-01T07:00:00,4.8,4.7,118305,241164
2019-01-01T08:00:00,4.7,4.6,121016,247387
2019-01-01T09:00:00,4.7,4.5,123699,251473
2019-01-01T10:00:00,5.0,4.8,129514,264112
2019-01-01T11:00:00,5.4,5.1,134250,274506
2019-01-01T12:00:00,5.6,5.0,138059,281481
2019-01-01T13:00:00,5.8,5.4,139279,284527
2019-01-01T14:00:00,5.8,5.7,138457,285456
2019-01-01T15:00:00,5.8,5.6,138367,290323
2019-01-01T16:00:00,6.0,5.6,141268,301538
2019-01-01T17:00:00,5.9,5.2,149186,311012
2019-01-01T18:00:00,5.8,5.3,151935,316031
2019-01-01T19:00:00,5.8,5.5,148428,308405
2019-01-01T20:00:00,5.7,5.0,140924,296163
2019-01-01T21:00:00,5.5,5.1,133707,281932
2019-01-01T22:00:00,5.8,5.3,127777,265643
2019-01-01T23:00:00,5.7,5.0,121893,244894
2019-01-02T00:00:00,5.6,4.9,114006,243763
2019-01-02T01:00:00,5.5,4.8,111173,224958
2019-01-02T02:00:00,5.0,4.5,107885,220096
2019-01-02T03:00:00,4.4,4.5,103741,214022
2019-01-02T04:00:00,3.7,4.3,104569,209788
2019-01-02T05:00:00,3.2,3.9,113335,222344
2019-01-02T06:00:00,2.8,3.2,130664,241752
2019-01-02T07:00:00,1.9,2.9,149525,260010
2019-01-02T08:00:00,2.1,3.1,162384,273383
2019-01-02T09:00:00,3.2,3.1,168821,287812
2019-01-02T10:00:00,3.8,3.2,175721,306090
2019-01-02T11:00:00,4.1,3.3,179530,315198
2019-01-02T12:00:00,4.4,3.5,180713,321531
2019-01-02T13:00:00,4.7,4.2,179301,319857
2019-01-02T14:00:00,4.5,4.1,176558,315870
2019-01-02T15:00:00,4.4,3.5,173428,314117
2019-01-02T16:00:00,3.5,3.4,174863,321423
2019-01-02T17:00:00,3.0,3.0,178767,341735
2019-01-02T18:00:00,2.4,2.5,180842,350350
2019-01-02T19:00:00,1.9,2.4,170989,341363
2019-01-02T20:00:00,1.2,0.9,158418,323999
2019-01-02T21:00:00,0.2,0.8,145071,303457
2019-01-02T22:00:00,-0.3,0.6,137432,284133
2019-01-02T23:00:00,-0.6,0.1,128207,261926
2019-01-03T00:00:00,-1.9,0.1,118663,256152
2019-01-03T01:00:00,-2.7,-0.4,115436,236243
2019-01-03T02:00:00,-2.9,-0.6,112077,231594
2019-01-03T03:00:00,-3.2,-1.0,107880,225023
2019-01-03T04:00:00,-3.5,-1.3,108659,221710
2019-01-03T05:00:00,-3.9,-1.5,117568,237831
2019-01-03T06:00:00,-3.8,-1.8,136433,278141
2019-01-03T07:00:00,-3.8,-2.0,158549,324323
2019-01-03T08:00:00,-3.4,-2.0,172899,356358
2019-01-03T09:00:00,-1.4,-2.0,180203,371167
2019-01-03T10:00:00,-0.3,-1.3,185274,384011
